nombreestablecimiento,zona,niveles,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,idiomas
COLEGIO BILINGÜE INTEGRAL,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","OTRO,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,"INGLÉS,FRANCES"
COL GEORGE WILLIAMS                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL GIMN EL PORTILLO                                                                                ,RURAL,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,
COL MOUNT VERNON                                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN LOS ALERCES                                                                                    ,URBANA,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN CRISTIANO LOS ANDES                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
ACAD MILIT MARISCAL SUCRE                                                                           ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL ANGLO-ESCOCES CAMPESTRE (LICEO MEXICO)                                                          ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
LIC CAMBRIDGE                                                                                       ,RURAL,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL PSICOPEDAG EL ARTE DEL SABER                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL CLAUSTRO MODERNO                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
CENT EDUC MANUEL ELKIN PATARROYO                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10",EDUCACIÓN TRADICIONAL,,INGLÉS
LIC ATENEO COMERCIAL                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
